TYPE	OCC	ZOOM
traffic	1	9
standard_hd	2	16
photo	1	16
standard	2	19,17
traffic_hd	1	12
standard	1	13
traffic	1	14
standard	1	19
traffic	1	14
photo	1	17
standard	1	17
photo	2	17
traffic_hd	1	12
photo	1	17
standard	1	16
traffic_hd	1	12
standard_hd	4	13,14
standard	3	19,18,17
traffic_hd	1	17
standard	1	19
traffic	1	14
traffic_hd	1	17
standard	2	19,17
public_transport_hd	1	15
standard	3	18,19
traffic_hd	1	17
standard	5	18,14,16,17
standard_hd	2	18,16
traffic_hd	2	12,14
standard	1	14
standard_hd	2	15
hybrid	1	15
standard_hd	2	15
photo	1	15
traffic_hd	1	9
photo	1	16
standard_hd	1	11
standard	2	19,14
standard_hd	1	11
traffic_hd	2	8
standard	4	17,16,19
photo	1	19
hybrid	1	15
standard	1	19
photo	1	19
traffic	1	14
standard	1	18
traffic	1	14
standard	2	19,17
standard_hd	2	15
standard	2	15
standard_hd	1	15
photo	4	15,17,16,18
standard	1	18
standard_hd	1	17
standard	1	18
standard_hd	3	15,17
standard	1	16
traffic_hd	1	8
standard	1	14
traffic_hd	1	8
photo	1	18
standard_hd	1	13
standard	1	19
traffic_hd	1	14
standard_hd	1	13
traffic_hd	1	12
standard	3	19,18
standard_hd	1	16
standard	1	16
standard_hd	1	15
standard	1	18
standard_hd	1	17
standard	2	18
traffic_hd	3	12
standard	2	18
standard_hd	1	13
standard	2	18,19
traffic_hd	1	8
standard	1	17
traffic_hd	1	12
standard	3	19,18
standard_hd	1	16
standard	3	19,18
traffic_hd	1	16
photo	1	18
standard_hd	1	18
traffic_hd	1	8
photo	1	17
traffic_hd	1	14
standard	1	19
hybrid	1	15
standard	3	18
standard_hd	1	16
photo	2	16
hybrid	1	15
photo	3	16,19
standard_hd	2	14
traffic_hd	2	11
standard_hd	1	16
standard	1	19
standard_hd	1	16
traffic_hd	1	11
standard_hd	5	13,14,16
standard	1	19
traffic_hd	1	11
standard	2	14,19
standard_hd	1	6
standard	2	19
standard_hd	2	16
hybrid	1	15
standard_hd	1	17
photo	1	19
standard	2	15,19
traffic_hd	1	12
hybrid	1	15
traffic_hd	1	8
standard	3	14,17,15
photo	1	17
standard_hd	1	16
photo	1	17
standard	1	15
hybrid	1	15
standard_hd	4	16,13
traffic_hd	1	8
standard_hd	2	16
standard	1	19
traffic_hd	1	11
standard_hd	2	16,17
photo	1	17
standard_hd	2	17
traffic_hd	1	8
standard_hd	9	17,16
photo	1	17
standard_hd	8	18,16,17,13
photo	2	12
standard	1	16
photo	1	12
standard_hd	1	16
photo	1	12
standard	2	16,18
traffic_hd	1	18
standard	1	18
traffic_hd	1	8
